26-05-2020 10:30:28.738 [main] INFO  c.e.r.RelationalDbAccessApiApplication.logStarting - Starting RelationalDbAccessApiApplication on alejandroLaptop with PID 12066 (/home/alejandro/Documentos/EagleLogistics/Projects/Backend/relational-db-access-api/target/classes started by alejandro in /home/alejandro/Documentos/EagleLogistics/Projects/Backend/relational-db-access-api)
26-05-2020 10:30:28.740 [main] INFO  c.e.r.RelationalDbAccessApiApplication.logStartupProfileInfo - The following profiles are active: dev
26-05-2020 10:30:29.338 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
26-05-2020 10:30:29.403 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 56ms. Found 2 JPA repository interfaces.
26-05-2020 10:30:29.845 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 9999 (http)
26-05-2020 10:30:29.852 [main] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
26-05-2020 10:30:29.853 [main] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/9.0.34]
26-05-2020 10:30:29.854 [main] INFO  o.a.c.core.AprLifecycleListener.log - An older version [1.2.21] of the APR based Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
26-05-2020 10:30:29.854 [main] INFO  o.a.c.core.AprLifecycleListener.log - Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.6.3].
26-05-2020 10:30:29.854 [main] INFO  o.a.c.core.AprLifecycleListener.log - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
26-05-2020 10:30:29.854 [main] INFO  o.a.c.core.AprLifecycleListener.log - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
26-05-2020 10:30:29.857 [main] INFO  o.a.c.core.AprLifecycleListener.log - OpenSSL successfully initialized [OpenSSL 1.1.1  11 Sep 2018]
26-05-2020 10:30:29.928 [main] INFO  o.a.c.c.C.[.[localhost].[/rdb-api].log - Initializing Spring embedded WebApplicationContext
26-05-2020 10:30:29.928 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1110 ms
26-05-2020 10:30:30.059 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
26-05-2020 10:30:30.120 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
26-05-2020 10:30:30.159 [main] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
26-05-2020 10:30:30.229 [main] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 5.4.15.Final
26-05-2020 10:30:30.399 [main] INFO  o.h.annotations.common.Version.<clinit> - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
26-05-2020 10:30:30.487 [main] INFO  org.hibernate.dialect.Dialect.<init> - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
26-05-2020 10:30:31.206 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
